version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Ngô Thành Đạt; Lê Minh; Nguyễn Chí Quang; Nguyễn Hữu Thắng (cả nhóm),system_prompt.md; tools.yaml (baseline),v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,"Bản baseline của starter_v0, chưa có guardrail rõ ràng cho out-of-scope refusal, missing handle/URL, confirm-before-send","(baseline, chưa có hypothesis so sánh)",case_accuracy,(chưa có run trước đó),0.70 (14/20),runs/v0_B_base_openai_20260729T095458238628 (1).json
v1,Ngô Thành Đạt,system_prompt.md,v1+pd31b34ec969d+t6cdb53d5d7b8,d31b34ec969da03be27675ee35bc34194715ba0c82c1eb01e989cfaf37ba1857,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5 (không đổi so với v0),Thêm rule: không gọi tool khi request ngoài phạm vi (chỉ từ chối); bắt buộc clarify khi thiếu handle/URL; yêu cầu xác nhận trước khi send,Rule tường minh hơn sẽ giảm out_of_scope + missing_info + wrong_boundary failures,case_accuracy,0.70 (14/20),0.95 (19/20),runs/v1_B_base_openai_20260729T102523037370.json
v2,Ngô Thành Đạt,system_prompt.md,v2+p00d56f97393b+te137088ed015,00d56f97393be6dbc9536af85b3dfe6088c26d221559ad0f4d5d4af8565c88ec,e137088ed0151ca3d4c7f32d38c97ac67de59df8873fecd02f00b5ca8cbd3662,"Sửa thứ tự clarify trước send: hỏi xác nhận yes_no trước, hỏi chi tiết nội dung sau (fix case R12_confirm_before_send còn sót ở v1: response_type sai 'text' thay vì 'yes_no')",Tách rõ 2 bước xác nhận sẽ hết lỗi wrong_boundary do response_type sai,case_accuracy,0.95 (19/20),1.00 (20/20),runs/v2_B_base_openrouter_20260729T105717254321.json
v2,Lê Minh,tools.yaml,v2+p00d56f97393b+te137088ed015,00d56f97393be6dbc9536af85b3dfe6088c26d221559ad0f4d5d4af8565c88ec,e137088ed0151ca3d4c7f32d38c97ac67de59df8873fecd02f00b5ca8cbd3662,"tools_hash đổi cùng lúc với v2 (khác v1: 6cdb53d5d7b8 -> e137088ed015); sửa mô tả/tham số của các tool có sẵn (clarify/send/lookup) cho khớp rule mới ở system_prompt. Nội dung diff chi tiết không còn lưu vì repo không phải git, chỉ xác nhận được qua hash thay đổi",Đồng bộ schema tool với rule prompt mới giúp model map đúng response_type và tham số,case_accuracy,0.95 (19/20),1.00 (20/20),runs/v2_B_base_openrouter_20260729T105717254321.json
v3,Nguyễn Chí Quang,tools.yaml,v3+pbe39044f8770+t8012b9f1f536,be39044f877084814a6591ab85b62baaf5af48a7bf8eb6348b30278284fb137d,8012b9f1f536b2a42abbb68da1b87785591f2380686c8ed1141f7e0a80a355f1,"Thêm 3 tool mới (Team-authored Research Paper Scout tools): rank_papers, extract_paper_insights, compare_papers",Cho phép agent xếp hạng/trích insight/so sánh paper đã có sẵn mà không cần gọi lại papers/paper_text,"case_accuracy (group suite, 10 case mới trong data/eval_group.json)","(chưa có, suite mới)",0.90 (9/10),runs/v3_B_group_openai_20260729T144431817067.json
v3,Ngô Thành Đạt,system_prompt.md,v3+pbe39044f8770+t8012b9f1f536,be39044f877084814a6591ab85b62baaf5af48a7bf8eb6348b30278284fb137d,8012b9f1f536b2a42abbb68da1b87785591f2380686c8ed1141f7e0a80a355f1,"Thêm Routing policy cho rank_papers/extract_paper_insights/compare_papers (khi nào dùng tool nào, khi nào phải clarify) để model biết cách dùng 3 tool mới của Quang",Rule routing rõ ràng cho 3 tool mới sẽ giúp model chọn đúng tool thay vì tự gọi papers/paper_text,case_accuracy (group suite),"(chưa có, suite mới)",0.90 (9/10),runs/v3_B_group_openai_20260729T144431817067.json
v3 (fix G03),Lê Minh,tools.yaml,v3+p0fc75afac829+tef84123f3186,0fc75afac8299f9b3a209354cf9d7b7ce85853a6fdac0e056da5b35497a5c6f9,ef84123f318643dc3ce59a69a22f754f6320f1964f5c7d0601efaac651691cc9,"Case G03 fail: model gọi papers 2 lần (tra lại paper đã nêu tên + đoán 'attention mechanism') thay vì hỏi lại khi thiếu 1 paper cụ thể để so sánh. Siết lại mô tả tool papers: cấm dùng để tra cứu paper đã nêu tên hoặc đoán paper còn thiếu, phải dùng clarify",Mô tả tool cấm rõ ràng + ví dụ đúng câu chữ case thật sẽ chặn model gọi papers sai chỗ,case_accuracy (group suite),0.90 (9/10),1.00 (10/10),runs/v3_B_group_openai_20260729T145245546713.json
v3 (fix G03),Ngô Thành Đạt,system_prompt.md,v3+p0fc75afac829+tef84123f3186,0fc75afac8299f9b3a209354cf9d7b7ce85853a6fdac0e056da5b35497a5c6f9,ef84123f318643dc3ce59a69a22f754f6320f1964f5c7d0601efaac651691cc9,Thêm section 'Mandatory Compare/Rank Guardrails' với quy tắc quyết định tường minh + ví dụ đúng câu chữ của case G03 (paper 'Attention Is All You Need' + 'các phương pháp trước đó'),Guardrail tường minh dạng deterministic rule (giống Mandatory Routing Guardrails cho social) hiệu quả hơn 1 câu mô tả tool đơn lẻ,case_accuracy (group suite),0.90 (9/10),1.00 (10/10),runs/v3_B_group_openai_20260729T145245546713.json
v3 (regression check),Ngô Thành Đạt; Lê Minh,system_prompt.md; tools.yaml (không đổi thêm),v3+p0fc75afac829+tef84123f3186,0fc75afac8299f9b3a209354cf9d7b7ce85853a6fdac0e056da5b35497a5c6f9,ef84123f318643dc3ce59a69a22f754f6320f1964f5c7d0601efaac651691cc9,Chạy lại base suite 20 case sau khi fix G03 để kiểm tra fix không làm hỏng lại các case cũ,Fix cho group suite không được gây regression cho base suite,case_accuracy (base suite),"1.00 (20/20, từ v2)",1.00 (20/20),runs/v3_B_group_openai_20260729T145346179546.json
UI,Nguyễn Hữu Thắng,"app.py; chat.py (Streamlit UI, không thuộc artifact_version)",N/A - versioning.py chỉ hash system_prompt.md và tools.yaml,,,Xây dựng giao diện Streamlit (app.py) để chạy chat trực tiếp và lưu lịch sử hội thoại thành transcripts/*.transcript.json,"Giao diện chat trực tiếp cho phép ghi transcript thật làm bằng chứng demo và cho phần B4, ngoài eval tự động",N/A (không tính vào case_accuracy),,,transcripts/v0_openai_20260729T145746.transcript.json (ví dụ)
